Column 1,#,Room,Rarity,Rarity value,Special type,Room description,Gem cost,Gems,Doors,Shape,Chess piece,Remarks,"Blue Notes (From Blue Tent, added by maqij)",Secrets (a),Secrets (b),Secrets (c),Secrets (d),Secrets (e),Column 20
Underground,125,Reservoir,,,,,0,,0,,None,,,,,,,,
Underground,126,Safehouse (train station),,,,,,,,,None,,,,,,,,
"8 Found floorplans, 6 Red Rooms (Red)",102,Lost and Found,unusual,3,Enter,"Includes 2 Rare Items. Whenever you enter this room, you will lose 1 random inventory Item.",0,,2,⎾,Pawn,,,,,,,,
6 Red Rooms (Red),83,gymnasium,standard,2,Enter,"whenever you enter gymnasium, lose 2 steps",0,,3,⏉,W,,,,,,,,
6 Red Rooms (Red),80,chapel,commonplace,1,Enter,"whenever you enter chapel, lose 1 coin",0,,3,⏉,white bishop,,,,,,,,
1 Draft rooms (Blue),11,attic,rare,4,Dead-End,8 items,3,,1,∏,white bishop!,,,,,,,,
1 Draft rooms (Blue),24,office,standard,2,Spread,opportunity to earn and spread coins,2,,2,⎾,White king,,,,,,,,
1 Draft rooms (Blue),34,security,commonplace,1,Mechanical,view inventory of all items currently in the house,1,,3,⏉,white knight,,,,,,,,
1 Draft rooms (Blue),42,observatory,standard,2,None,1 star each time you drafted observatory,1,,2,⎾,white knight,,,,,,,,
1 Draft rooms (Blue),12,storeroom,commonplace,1,Dead-End,"1 key, 1 gem, 1 coin",0,,1,∏,white pawn,,,,,,,,
1 Draft rooms (Blue),17,Den,commonplace,1,None,1 gem,0,,3,⏉,white pawn,,,,,,,,
1 Draft rooms (Blue),25,drawing room,commonplace,1,Drafting,draw new floor plans,1,,3,⏉,white pawn,,,,,,,,
1 Draft rooms (Blue),40,freezer,rare,4,"Tomorrow, Dead-End",freezes your accounts,0,,1,∏,white pawn,,,,,,,,
1 Draft rooms (Blue),41,dining room,standard,2,None,each day a meal served in the dining room after rank 8 is reached,0,,3,⏉,white pawn,,,,,,,,
2 Bedrooms (Purple),47,Bedroom,commonplace,1,Enter,whenever you enter this room gain 2 steps,0,,2,⎾,white pawn,,,,,,,,
2 Bedrooms (Purple),49,guest bedroom,commonplace,1,Dead-End,10 steps,0,,1,∏,white pawn,,,,,,,,
2 Bedrooms (Purple),50,nursery,commonplace,1,"Drafting, Dead-End",whenever you draft a bedroom gain 5 steps,1,,1,∏,white pawn,,,,,,,,
2 Bedrooms (Purple),53,Her ladyship's chamber,rare,4,Dead-End,"The next time you enter Boudoir, gain 10 steps; The next time you enter walk-in closet, gain 3 gems",,,,∏,White Queen,,,,,,,,
1 Draft rooms (Blue),13,nook,commonplace,1,None,1 key,0,,2,⎾,white rook,,,,,,,,
1 Draft rooms (Blue),23,Vault,rare,4,Dead-End,40 coins,3,,1,∏,white rook,,,,,,,,
,128,,,,,,,,,,,,,,,,,,
,129,,,,,,,,,,,,,,,,,,
,130,,,,,,,,,,,,,,,,,,
1 Draft rooms (Blue),4,rotunda,rare,4,None,can rotate,3,,4,⎾,,,,,,,,,
1 Draft rooms (Blue),7,Gallery,rare,4,Puzzle,Puzzle,0,,2,|,,,,,,,,,
1 Draft rooms (Blue),19,trophy room,rare,4,None,8 gem,5,,2,⎾,,,,,,,,,
1 Draft rooms (Blue),20,ballroom,rare,4,Enter,"whenever you enter ballroom, set your gems to 2 gems",2,,2,|,,,,,,,,,
1 Draft rooms (Blue),28,chamber of mirrors,rare,4,"Drafting, Dead-End",draft 2nd copies of rooms you already have in the house,0,,1 (+3),∏,,,,,,,,,
1 Draft rooms (Blue),30,drafting studio,rare,4,Drafting,select a new floorplan to permanently add to your estate's draft pool,2,,1,∏,,,,,,,,,
1 Draft rooms (Blue),36,laboratory,standard,2,Mechanical,experimental house features,1,,2,⎾,,,,,,,,,
"1 Draft rooms (Blue), Additions",37,sauna,unusual,3,"Tomorrow, Dead-End","tomorrow, you will start the day with 20 extra steps",0,,1,∏,,,,,,,,,
1 Draft rooms (Blue),38,coat check,commonplace,1,"Tomorrow, Dead-End",check one item and retrieve it on another day,0,,1,∏,,,,,,,,,
1 Draft rooms (Blue),39,mail room,unusual,3,"Tomorrow, Dead-End",a package will be delivered here the day after drafting this room,0,,1,∏,,,,,,,,,
1 Draft rooms (Blue),46,Room 46,NA,5,None,No room description,0,,1,∏,,,,,,,,,
2 Bedrooms (Purple),51,servant's quarters,unusual,3,Dead-End,1 key for each bedroom in your house,1,,1,∏,,,,,,,,,
4 Green Rooms (Green),64,patio,standard,2,Spread,spread gems in each green room,1,,2,⎾,,,,,,,,,
"4 Green Rooms (Green), Additions",69,morning room,rare,4,Tomorrow,"2 gem, tomorrow start with 2 gem",0,,2,⎾,,,,,,,,,
4 Green Rooms (Green),70,secret garden,rare,4,Spread,spread fruit throughout the house,0,,3,⏉,,,,,,,,,
5 Shops (Gold),73,Locksmith,unusual,3,Dead-End,keys for sale,1,,1,∏,,,,,,,,,
5 Shops (Gold),74,showroom,rare,4,None,luxury items for sale,2,,2,|,,,,,,,,,
5 Shops (Gold),75,laundry room,rare,4,Dead-End,launder currency,1,,1,∏,,,,,,,,,
"6 Red Rooms (Red), 2 Bedrooms (Purple)",81,maid's chamber,unusual,3,Multicolor,less likely to find items laying around in your house,0,,2,⎾,,,,,,,,,
6 Red Rooms (Red),82,archives,unusual,3,None,"while drafting, you will no longer be able to see all 3 of your potential floor plans",0,,4,＋,,,,,,,,,
6 Red Rooms (Red),85,weight room,rare,4,None,lose half your steps,0,,4,＋,,,,,,,,,
6 Red Rooms (Red),86,furnace,rare,4,None,more likely to draw red rooms while drafting,0,,1,∏,,,,,,,,,
"7 Studio Additions, 1 Draft rooms (Blue)",87,Dovecote,unusual,3,None,"Whenever you draw Dovecote while drafting, you may rotate floorplans.",0,,2,⎾,,,,,,,,,
"1 Draft rooms (Blue), 7 Studio Additions",91,Classroom,unusual,3,Drafting,"While drafting in the Classroom, you may draw new Floorplans one time for each Drafting Room in your House.",1,,2,⎾,,,,,,,,,
"7 Studio Additions, 3 Hallways (Orange)",92,Vestibule,unusual,3,Enter,"Whenever you enter vestibule, 3 of the doors in this room unlock and the fourth one becomes locked.",2,,4,＋,,,,,,,,,
"7 Studio Additions, 5 Shops (Gold)",93,Casino,unusual,3,None,Games of Chance,2,,2,⎾,,,,,,,,,
"8 Found floorplans, 3 Hallways (Orange)",96,Tunnel,standard,2,None,Always draw tunnel while drafting in this room,0,,2,|,,,,,,,,,
"8 Found floorplans, 6 Red Rooms (Red)",98,Closed exhibit,rare,4,None,The doors in this room are security locked,0,,3,⏉,,,,,,,,,
"8 Found floorplans, 1 Draft rooms (Blue)",99,Mechanarium,unusual,3,Mechanical,The Mechanarium has one door for each Mechanical Room in your House.,0,,4 max,＋,,,,,,,,,
"8 Found floorplans, Blackprint (Black)",100,Treasure Trove,unusual,3,None,+5 coins for each time you have drafted treasure trove,1,,2,⎾,,,,,,,,,
,8515,,,,,,69,,,,,,,,,,,,
